# SOURCE: http://skyserver.sdss.org/dr12/en/tools/search/x_sql.aspx
# TIME: Fri Apr 26 00:02:54 2019
# QUERY:
#   
#           SELECT ALL
#           p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,p.type,   
#           p.deVRad_u, p.deVRad_g, p.deVRad_r, p.deVRad_i, p.deVRad_z,
#           p.deVAB_u, p.deVAB_g, p.deVAB_r, p.deVAB_i, p.deVAB_z,
#           p.deVPhi_u, p.deVPhi_g, p.deVPhi_r, p.deVPhi_i, p.deVPhi_z,
#   
#           p.expRad_u, p.expRad_g, p.expRad_r, p.expRad_i, p.expRad_z,
#           p.expAB_u, p.expAB_g, p.expAB_r, p.expAB_i, p.expAB_z,
#           p.expPhi_u, p.expPhi_g, p.expPhi_r, p.expPhi_i, p.expPhi_z 
#           FROM PhotoPrimary AS p
#           WHERE
#           p.ra BETWEEN 161.64559891344263 AND 162.09615891344262
#           AND p.dec BETWEEN 15.008631753538266 AND 15.459191753538265
#           AND p.type = 6
#           ORDER by p.r
#           
#Table1
ra,dec,u,g,r,i,z,type,deVRad_u,deVRad_g,deVRad_r,deVRad_i,deVRad_z,deVAB_u,deVAB_g,deVAB_r,deVAB_i,deVAB_z,deVPhi_u,deVPhi_g,deVPhi_r,deVPhi_i,deVPhi_z,expRad_u,expRad_g,expRad_r,expRad_i,expRad_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,expPhi_u,expPhi_g,expPhi_r,expPhi_i,expPhi_z
162.077622887776,15.0440089015669,14.50491,11.71669,11.53101,11.43989,12.84453,6,0.09802513,2.173581,2.009787,2.338978,0.01190007,0.8857242,0.8847289,0.8107982,0.8242594,0.349987,71.60068,83.21613,56.82986,64.10641,68.35663,0.1395961,2.13642,1.988912,1.981842,0.02719182,0.8999985,0.9997633,0.9447164,0.9824101,0.8499695,71.67755,65.14326,43.55832,70.01964,68.56306
162.031246816151,15.0437180095091,15.0933,15.50056,12.05915,11.78684,12.99155,6,0.1242328,2.309493,2.063214,3.347931,0.02066894,0.2499729,0.889358,0.8158732,0.7866855,0.9498635,71.27426,25.84226,32.0794,26.09653,69.25296,0.1863648,2.020657,1.936252,2.464611,0.05427825,0.4998747,0.9996663,0.9221805,0.8343921,0.7500042,71.49894,49.06173,40.42141,31.89836,69.5087
161.877800914644,15.2866842998881,14.41843,12.74146,12.1623,12.0866,12.72386,6,0.1548928,1.440328,1.467848,1.650807,0.4134531,0.6858091,0.7917141,0.8563942,0.8761564,0.9929635,13.53762,16.83404,147.0007,156.5528,72.05149,0.2279806,1.559757,1.547744,1.547305,0.523762,0.6810985,0.8933616,0.9418347,0.9759269,0.7550724,13.79545,20.03832,156.751,159.301,50.22012
162.007750164425,15.1891536476391,15.29615,12.96863,12.22658,12.04828,13.32742,6,0.1544101,1.629972,2.16591,3.884421,0.03593075,0.5756712,0.8381232,0.9076116,0.9226956,0.4999247,13.08078,25.55997,173.221,11.37091,129.9989,0.2244994,1.527604,1.869671,2.142926,0.03295866,0.5941725,0.9097788,0.9110872,0.9916812,0.6499904,12.88936,15.30933,157.1794,-6.728534,130.6983
161.813129569813,15.4508945370202,15.07023,13.07979,12.39463,12.19022,13.32629,6,0.0325349,1.871678,1.995347,2.4077,0,0.9997226,0.8132446,0.8687332,0.966191,0.7499803,41.27576,31.26256,124.4401,130.2101,68.92554,0.03623024,1.568418,1.861346,1.572228,5.683537E-05,0.9998776,0.9841084,0.8766695,0.8919355,0.6839073,41.2524,40.68587,129.8442,154.6866,69.12711
161.972770454579,15.4496343539788,15.12307,13.54147,12.8258,12.6634,13.14671,6,0.09403518,1.317133,1.442748,2.007304,0.0001117308,0.9099165,0.8440242,0.8439768,0.9139942,0.8328747,39.36816,32.57336,129.2364,130.115,66.60233,0.1409604,1.240077,1.501414,1.341561,0.0002382143,0.9381204,0.9997239,0.8423594,0.9888663,0.7441879,39.60523,42.43356,132.344,123.1815,66.60588
161.997445290037,15.3842914974353,14.92443,13.53357,12.99722,12.91564,13.22768,6,0.1557455,1.15759,1.237123,2.296043,0.00466012,0.6947951,0.757414,0.8735052,0.8846459,0.9512808,33.81973,30.66787,130.7589,103.4584,68.80289,0.2155863,1.007701,1.223779,1.521157,0.003551582,0.7248018,0.9656928,0.9193364,0.9166851,0.9000004,34.62359,38.3269,132.3848,123.5928,68.78197
161.733825103892,15.2494790592378,15.85621,14.34798,13.36644,13.12548,13.5726,6,0.05896011,0.6242428,1.614448,1.305804,0.02181888,0.2387985,0.924067,0.8846118,0.9507397,0.3999177,9.406748,24.28622,149.149,158.2457,95.9842,0.08229791,0.7947073,1.522975,1.070711,0.02034727,0.3998331,0.8717462,0.8653463,0.9749731,0.05,9.447832,29.461,142.0557,158.8378,132.3597
161.856555386828,15.2045830876567,15.67521,15.90568,13.46327,13.33098,13.60796,6,0.09261917,1.207122,1.394462,2.064818,0.0001580465,0.7177747,0.7856932,0.9040651,0.8638,0.8996872,9.773399,35.61204,98.24258,76.39035,71.16082,0.1404242,1.213277,1.386283,1.556906,4.037141E-08,0.7815452,0.883525,0.978413,0.9800216,0.8999828,9.624294,28.87916,136.0356,92.16561,71.00253
161.897973994003,15.227099141412,15.24506,15.17601,13.62289,13.59131,13.56844,6,0.1304821,0.3195816,0.9177033,1.515669,0.005352966,0.5974366,0.8721265,0.863266,0.8931234,0.9498955,11.65432,38.38535,151.4442,147.9168,72.22725,0.1986662,0.4240534,0.9671734,1.318493,0.006014221,0.6205373,0.8678373,0.9710747,0.9818994,0.8999628,11.67271,41.45332,155.4602,159.133,71.84523
