#Table1
ra,dec,u,g,r,i,z,type,psffwhm_u,psffwhm_g,psffwhm_r,psffwhm_i,psffwhm_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,deVRad_u,deVRad_g,deVRad_r,deVRad_i,deVRad_z,deVAB_u,deVAB_g,deVAB_r,deVAB_i,deVAB_z,deVPhi_u,deVPhi_g,deVPhi_r,deVPhi_i,deVPhi_z,expRad_u,expRad_g,expRad_r,expRad_i,expRad_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,expPhi_u,expPhi_g,expPhi_r,expPhi_i,expPhi_z
36.5675093948792,-5.91051849850698,15.31005,13.4801,12.80642,12.72964,13.97067,6,1.211713,1.19145,1.116353,0.9629472,0.9398546,1.614889,2.457641,3.728876,3.183127,1.514757,0.008185559,0.9253144,2.124531,2.037208,0.0020343,0.8499708,0.8734171,0.9211478,0.9627328,0.8499343,71.30796,69.73483,79.93925,43.6219,69.93519,0.005311235,0.9781461,1.905482,1.377336,0.000161295,0.6999489,0.9276228,0.9415238,0.999828,0.6653035,71.22086,60.49083,71.55801,50.85054,69.92065
36.4099255781495,-5.84725337514646,15.58649,16.19807,13.2792,13.27227,14.10388,6,1.215315,1.195116,1.132236,1.034545,1.041271,1.642178,2.110936,3.695243,2.93979,1.549044,0.01850637,1.531872,2.275483,1.456747,0.04542973,0.9578546,0.9232269,0.9392138,0.9236246,0.8549274,104.8295,48.53233,73.28891,96.68122,39.13593,0.01801124,1.550406,1.891611,1.286532,0.05117713,0.9600829,0.9353735,0.971936,0.9427863,0.8983193,104.8541,58.25018,59.98498,101.5021,38.97498
36.4635839562788,-5.97646643780832,16.86156,15.44468,13.64302,14.81509,14.72625,6,1.229441,1.156432,1.048758,0.961051,0.9774848,1.547472,1.464872,2.321638,1.42633,1.447404,0.07361818,0.07738367,0.9938561,0.06095587,0.03914468,0.1988812,0.9439144,0.925158,0.2999916,0.6164111,73.16353,71.61746,66.48763,38.94833,70.79942,0.1220521,0.1166691,1.170629,0.1051063,0.0470413,0.2125185,0.9759501,0.8803031,0.1999923,0.6918077,73.1694,71.74979,79.78938,39.07926,70.76485
36.5643228539697,-5.97844822274779,17.02763,15.40957,14.93321,14.63335,14.53848,6,1.224676,1.115751,1.060174,0.9195781,0.9436445,1.474356,1.409737,1.626696,1.30336,1.303584,0,0.0941271,0.3267516,0.01282983,0.006074572,0.6499943,0.9910195,0.8713821,0.9998723,0.9997876,71.21504,71.30631,104.9344,93.6131,69.25739,1.556831E-05,0.1536107,0.4448673,0.01550832,0.007957243,0.6350769,0.9181451,0.8352315,0.9999439,0.9996747,71.22357,70.65161,105.4454,94.02183,69.26593
36.5194597291198,-5.87775656195851,18.30561,16.00604,15.06508,14.72501,14.55606,6,1.214061,1.195305,1.132838,0.9851151,0.9987045,1.386041,1.346501,1.261095,1.225616,1.234107,0.06257605,0.01315161,0.005384426,0.0002072951,0,0.2579864,0.3044519,0.9140111,0.7531855,0.7506951,72.67466,71.40099,134.7698,64.55969,37.00565,0.09687612,0.001739213,0,0.0004090582,0.0001906819,0.2947348,0.05,0.6500248,0.6958264,0.7869024,72.67241,107.7069,64.04903,64.57683,37.01056
36.4224249656913,-5.93665323614326,17.63989,15.67942,15.18228,14.64012,14.50142,6,1.215033,1.189782,1.078688,0.9922787,1.009825,1.623331,1.424727,1.598067,1.334766,1.336042,0.02136838,0.06675767,0.467213,0.02726008,0.006374343,0.3378182,0.900688,0.9158724,0.9500303,0.9999236,70.9237,39.48035,98.93271,133.644,70.67732,0.01903078,0.09855277,0.6098284,0.03069532,0.008843075,0.7946299,0.9441943,0.8328651,0.9998698,0.9108663,70.76796,39.39542,103.9727,133.7321,70.71754
36.3721435249769,-5.82047751625317,16.79496,15.53892,15.22628,14.94139,14.84914,6,1.194539,1.160814,1.143373,1.058139,1.023521,1.478796,1.411984,1.475607,1.326027,1.3117,0.02353294,0.1095469,0.3234101,0.02728108,0.03537366,0.9823639,0.4605917,0.7667019,0.9545051,0.867487,36.87076,67.29594,101.0254,134.8069,71.0162,0.02837509,0.1651118,0.4593095,0.03374681,0.04203662,0.9899329,0.5500014,0.760502,0.9331535,0.8897313,36.87266,67.09191,102.2707,134.3575,71.04545
36.5488633459463,-5.85757463695498,17.47387,15.80876,15.35435,14.83008,14.65543,6,1.200659,1.199422,1.150758,0.9895225,0.9552811,1.518875,1.449284,1.599308,1.327463,1.329676,0.01307354,0.005151977,0.3052099,7.858895E-05,3.081719E-05,0.9504998,0.3054186,0.8695266,0.3293153,0.8605938,70.77097,71.15136,109.0966,65.16874,70.28664,0.01658034,0.0007557374,0.4205104,0.02569445,0,0.9500226,0.4722651,0.8999735,0.3999989,0.6999887,70.78403,107.2378,133.2717,99.66064,70.29454
36.559630997729,-5.8210399302493,16.74795,15.66951,15.39666,15.30998,15.31155,6,1.194753,1.191972,1.165792,0.9991318,0.9576644,1.393199,1.392512,1.304673,1.237431,1.227117,0.05159295,0.0917282,0.06069762,0.01722013,0.0001061568,0.2500263,0.2499633,0.1999705,0.5498527,0.6939003,71.41442,69.77686,105.0808,99.54758,70.4842,0.08044313,0.1397688,0.08805694,0.007356196,0,0.2499505,0.05,0.3500608,0.899952,0.6999998,71.41474,69.7352,105.1441,65.53005,70.48231
36.4929631593989,-5.83947489636491,17.37363,16.04553,15.56295,15.3859,15.30761,6,1.211749,1.202099,1.1514,1.011175,1.01462,1.452271,1.359628,1.27713,1.244797,1.24695,0.05315669,0.04388167,0.05926164,0.01318962,0.0007541566,0.4500009,0.3999982,0.5500175,0.9342296,0.663852,71.97845,70.25673,103.3438,65.46033,37.21049,0.07693198,0.07646278,0.06652881,0.01479023,0.01887249,0.3999097,0.2499799,0.7069602,0.9999284,0.3999347,71.97385,70.24503,102.6075,64.96234,38.44971
36.369853456744,-5.83048034491149,16.83771,15.53167,15.57564,14.94841,14.88497,6,1.194639,1.159241,1.135982,1.055995,1.020724,1.547934,1.438708,1.61423,1.356628,1.340009,0.05303653,0.1021631,0.3296247,0.0554678,0.02403734,0.9475248,0.4919797,0.7499215,0.780606,0.349972,73.25771,69.11743,100.5664,132.2148,71.08344,0.05595303,0.1495387,0.4858853,0.03975453,0.03060157,0.9638558,0.634625,0.6520805,0.9282637,0.4000111,73.20683,69.25391,103.2554,134.2028,71.08923
