# SOURCE: http://skyserver.sdss.org/dr12/en/tools/search/x_sql.aspx
# TIME: Fri Apr 26 00:02:47 2019
# QUERY:
#   
#           SELECT ALL
#           p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,p.type,   
#           p.deVRad_u, p.deVRad_g, p.deVRad_r, p.deVRad_i, p.deVRad_z,
#           p.deVAB_u, p.deVAB_g, p.deVAB_r, p.deVAB_i, p.deVAB_z,
#           p.deVPhi_u, p.deVPhi_g, p.deVPhi_r, p.deVPhi_i, p.deVPhi_z,
#   
#           p.expRad_u, p.expRad_g, p.expRad_r, p.expRad_i, p.expRad_z,
#           p.expAB_u, p.expAB_g, p.expAB_r, p.expAB_i, p.expAB_z,
#           p.expPhi_u, p.expPhi_g, p.expPhi_r, p.expPhi_i, p.expPhi_z 
#           FROM PhotoPrimary AS p
#           WHERE
#           p.ra BETWEEN 203.60844267931975 AND 204.05900267931975
#           AND p.dec BETWEEN 40.775866440905205 AND 41.2264264409052
#           AND p.type = 6
#           ORDER by p.r
#           
#Table1
ra,dec,u,g,r,i,z,type,deVRad_u,deVRad_g,deVRad_r,deVRad_i,deVRad_z,deVAB_u,deVAB_g,deVAB_r,deVAB_i,deVAB_z,deVPhi_u,deVPhi_g,deVPhi_r,deVPhi_i,deVPhi_z,expRad_u,expRad_g,expRad_r,expRad_i,expRad_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,expPhi_u,expPhi_g,expPhi_r,expPhi_i,expPhi_z
203.897021837589,40.8577968352429,15.5877,11.94323,10.81939,10.4112,10.73528,6,0.008772557,1.827002,2.601294,4.106007,1.549135,0.09998676,0.992122,0.9292943,0.9705873,0.9999117,83.64581,76.05022,94.43594,92.18907,52.66512,0.003993508,1.974436,2.558125,3.095307,1.582211,0.7499507,0.9997091,0.9889646,0.9996782,0.9997845,83.66902,74.34037,81.08643,74.95241,77.72614
203.977690561881,40.7994526821907,15.08272,14.59333,11.32264,11.13524,11.4348,6,0.08436264,1.893069,2.307725,3.337396,1.171803,0.8500065,0.9736534,0.9240856,0.9983572,0.9716474,117.0165,120.4452,110.2824,128.5047,79.71941,0.1349975,2.003936,2.464804,2.679996,1.259838,0.9664809,0.9999506,0.975371,0.9998567,0.9998059,83.96284,76.12148,82.31662,78.62583,74.63963
203.902558756432,40.9059480740893,14.94954,12.35435,11.85981,11.7308,13.10101,6,0.08748195,1.47607,2.070163,2.865026,0.08102438,0.9838386,0.9762647,0.93565,0.9539295,0.9950303,83.14526,123.5752,99.30433,95.45439,116.5329,0.1401187,1.626982,1.961713,1.973115,0.126305,0.9821198,0.9997149,0.9954154,0.9999756,0.9989917,83.37427,74.16963,80.73464,76.03592,117.039
203.642001476885,40.8749406161968,14.85975,14.91704,11.89973,11.76637,12.64335,6,0.03404192,1.617341,1.801977,3.330042,0.4804925,0.9291292,0.9998325,0.9816572,0.9987077,0.965765,151.5835,72.23196,81.01692,74.31087,121.3232,0.001144468,1.694979,1.914277,2.45622,0.5337036,0.9497395,0.9997308,0.9836651,0.9902669,0.8286551,80.62605,75.87363,77.963,76.93076,120.5881
203.861012858877,41.0105477333859,15.39002,15.15971,12.03386,11.89132,13.46361,6,0.1066047,1.826902,2.11461,2.805558,0.0002341243,0.8998578,0.9038869,0.9349437,0.9998186,0.861034,114.8365,135.7958,78.3712,128.2845,107.6601,0.1691721,1.644071,1.959283,2.180115,3.232283E-05,0.9498764,0.9916705,0.9997962,0.9997842,0.8872169,115.066,118.5462,128.5451,129.3204,108.1324
203.908522764259,41.0585232712102,15.08854,12.45125,12.04613,11.92027,13.23938,6,0.08964816,1.987728,1.820939,2.908487,0.01372191,0.9999582,0.923565,0.9997842,0.9997438,0.500001,109.7939,150.1556,126.6502,132.3646,113.7965,0.1587571,1.889928,1.627879,2.157974,0.00422094,0.8231626,0.9374625,0.9382243,0.999728,0.8999798,110.9199,122.9084,16.07787,133.8528,113.4241
203.805681056538,40.8560751783925,14.94189,14.78651,12.45924,12.35353,13.18656,6,6.944808E-05,1.02774,1.504027,2.434773,0.06313923,0.7018092,0.9996672,0.8942714,0.9794255,0.9491559,83.07968,77.21478,111.618,83.1727,87.47698,9.992098E-05,1.220604,1.563682,1.902831,0.08896024,0.7499535,0.9362125,0.9998091,0.9838798,0.8499936,82.83797,122.3457,73.87164,75.87004,86.9415
203.957538736891,41.1828580124644,14.89193,12.94438,12.494,12.39093,13.22183,6,8.060857E-05,1.240838,1.546463,2.494957,0.005134641,0.8872886,0.9175142,0.9680805,0.9300908,0.5313525,87.01392,117.9342,85.9154,96.8824,116.2025,7.495131E-05,1.496753,1.622915,1.941108,0.006278231,0.9074064,0.9114999,0.9998989,0.9864789,0.6739227,87.18176,122.6155,54.41993,82.07404,116.1585
203.8494351342,41.1257228841113,16.40277,14.65371,13.40766,15.46566,13.38067,6,0.08302607,0.4995206,1.195422,1.97506,7.068756E-05,0.9188386,0.9446914,0.9734623,0.9699416,0.6238202,146.1166,180.387,36.17117,188.445,107.3108,0.1300471,0.7606358,1.230644,1.558095,1.268984E-05,0.9694754,0.8798727,0.8885478,0.9238853,0.7098282,145.9625,181.1333,172.9328,177.1047,107.5565
203.729933983025,40.8466565378002,15.61934,14.3441,13.65394,13.55318,13.41646,6,3.620864E-06,0.08304394,0.7778152,1.210845,0.001082396,0.7612375,0.8788074,0.9739696,0.9775369,0.8913402,81.78255,116.8858,77.63931,71.50294,85.28156,0,0.1318661,0.9731289,1.214136,0.004906416,0.7499807,0.8774552,0.9702724,0.9652116,0.8999856,81.70614,116.7422,122.365,127.374,85.54193
